"Object","Close-Approach (CA) Date","CA DistanceNominal (au)","CA DistanceMinimum (au)","V relative(km/s)","V infinity(km/s)","H(mag)","Diameter","Rarity"
"(2023 TT16)","2023-Oct-17 16:34 ± < 00:01","0.00351","0.00350","20.19","20.16","27.9","7.0 m -   16 m","0"
"(2023 UR3)","2023-Oct-17 20:55 ± < 00:01","0.01723","0.01716","8.34","8.33","26.3","15 m -   33 m","0"
"(2021 VP12)","2023-Oct-17 23:25 ±    17:22","0.17026","0.16004","11.53","11.53","24.6","32 m -   71 m","0"
"(2023 TT36)","2023-Oct-18 00:01 ±    00:02","0.02993","0.02957","7.13","7.11","26.4","14 m -   31 m","0"
"(2023 TK2)","2023-Oct-18 04:10 ±    00:06","0.09741","0.09684","4.80","4.79","25.3","23 m -   52 m","0"
"(2023 UX2)","2023-Oct-18 07:29 ± < 00:01","0.00136","0.00136","18.75","18.64","29.5","3.3 m -  7.5 m","0"
"(2023 UJ1)","2023-Oct-18 07:44 ± < 00:01","0.03427","0.03400","14.69","14.68","26.1","16 m -   36 m","0"
"(2023 UL3)","2023-Oct-18 08:08 ± < 00:01","0.00991","0.00988","13.54","13.52","26.6","12 m -   28 m","0"
"(2023 UH9)","2023-Oct-18 17:12 ±    00:10","0.00070","0.00069","9.41","8.99","30.8","1.8 m -  4.1 m","0"
"(2023 UQ10)","2023-Oct-18 17:20 ±    00:39","0.00980","0.00958","7.37","7.33","27.3","9.2 m -   21 m","0"
"(2023 UF3)","2023-Oct-18 18:32 ±    00:01","0.01110","0.01106","7.16","7.13","27.2","9.5 m -   21 m","0"
"(2017 UD1)","2023-Oct-18 18:53 ± < 00:01","0.09455","0.09455","11.61","11.61","24.8","29 m -   65 m","0"
"(2023 UP6)","2023-Oct-18 20:08 ± < 00:01","0.03180","0.03153","16.22","16.22","25.6","20 m -   45 m","0"
"(2023 UR7)","2023-Oct-18 22:19 ± < 00:01","0.02111","0.02101","7.71","7.69","26.5","13 m -   30 m","0"
"450159 (2000 JJ5)","2023-Oct-18 23:38 ± < 00:01","0.12300","0.12300","19.31","19.31","19.0","0.735±0.331 km","1"
"(2022 UO10)","2023-Oct-19 00:38 ±    02:42","0.01984","0.01776","9.77","9.75","26.8","12 m -   26 m","0"
"(2023 SS7)","2023-Oct-19 00:56 ± < 00:01","0.18144","0.18144","11.04","11.04","22.2","96 m -  210 m","0"
"(2023 UJ9)","2023-Oct-19 02:02 ± < 00:01","0.00495","0.00492","14.87","14.84","27.7","7.6 m -   17 m","0"
"(2023 TH4)","2023-Oct-19 02:30 ± < 00:01","0.01417","0.01413","5.41","5.38","27.0","10 m -   23 m","0"
"(2023 US6)","2023-Oct-19 02:38 ±    00:14","0.00896","0.00892","15.37","15.35","27.2","9.6 m -   21 m","0"
"(2022 UO)","2023-Oct-19 05:32 ±    07:32","0.15940","0.13047","15.34","15.34","26.5","13 m -   29 m","0"
"(2023 TM14)","2023-Oct-19 07:07 ± < 00:01","0.02114","0.02109","6.96","6.95","26.7","12 m -   28 m","0"
"(2023 TL2)","2023-Oct-19 09:34 ± < 00:01","0.14197","0.14194","5.04","5.04","24.3","38 m -   84 m","0"
"(2023 TY19)","2023-Oct-19 09:36 ±    00:01","0.03738","0.03686","9.19","9.19","26.5","14 m -   30 m","0"
"(2023 TP7)","2023-Oct-19 11:13 ± < 00:01","0.02052","0.02041","11.66","11.65","25.6","20 m -   46 m","0"
"(2012 MO3)","2023-Oct-19 12:07 ± < 00:01","0.19994","0.19994","10.65","10.65","20.9","180 m -  390 m","0"
"(2023 UT8)","2023-Oct-19 13:18 ±    01:15","0.02817","0.02756","6.52","6.50","27.4","8.8 m -   20 m","0"
"(2023 UP)","2023-Oct-19 17:29 ± < 00:01","0.00681","0.00679","14.17","14.15","27.9","7.0 m -   16 m","0"
"(2023 UW4)","2023-Oct-19 17:58 ± < 00:01","0.00376","0.00375","10.89","10.83","28.1","6.4 m -   14 m","0"
"(2023 UM1)","2023-Oct-19 18:49 ±    00:02","0.06362","0.06310","15.56","15.55","25.0","27 m -   59 m","0"
"(2023 UM4)","2023-Oct-19 22:35 ±    00:05","0.01508","0.01495","9.63","9.61","26.4","14 m -   32 m","0"
"(2023 UW1)","2023-Oct-19 23:46 ± < 00:01","0.00533","0.00532","7.40","7.33","26.9","11 m -   25 m","0"
"(2023 UH13)","2023-Oct-20 01:29 ±    00:01","0.03567","0.03525","16.39","16.39","25.9","18 m -   39 m","0"
"(2020 UR)","2023-Oct-20 03:58 ± 5_17:43","0.01491","0.00911","12.91","12.90","27.9","7.0 m -   16 m","0"
"(2023 UR10)","2023-Oct-20 04:24 ±    00:32","0.00009","0.00009","12.21","9.58","30.0","2.7 m -  6.1 m","1"
"(2023 SN7)","2023-Oct-20 04:29 ± < 00:01","0.19611","0.19606","16.32","16.32","21.7","120 m -  280 m","0"
"(2023 UM2)","2023-Oct-20 05:01 ±    00:05","0.06298","0.06167","11.38","11.37","25.1","25 m -   55 m","0"
"(2023 TK15)","2023-Oct-20 07:16 ± < 00:01","0.00254","0.00254","21.95","21.90","25.9","18 m -   39 m","1"
"(2023 UH)","2023-Oct-20 09:16 ± < 00:01","0.01731","0.01724","11.09","11.08","26.1","16 m -   35 m","0"
"(2023 UT6)","2023-Oct-20 12:53 ±    00:17","0.10098","0.09988","14.32","14.32","25.1","25 m -   56 m","0"
"(2023 TV1)","2023-Oct-20 16:29 ± < 00:01","0.16399","0.16392","12.84","12.84","23.1","63 m -  140 m","0"
"(2017 TJ2)","2023-Oct-20 18:09 ± 2_18:09","0.16823","0.11558","12.52","12.52","24.9","27 m -   61 m","0"
"(2024 BF)","2023-Oct-20 19:01 ±    00:03","0.11200","0.11197","3.26","3.26","24.4","35 m -   79 m","0"
"(2023 VC8)","2023-Oct-20 19:27 ±    00:02","0.07427","0.07420","7.03","7.03","23.0","68 m -  150 m","0"
"(2013 UG1)","2023-Oct-20 20:37 ± < 00:01","0.08764","0.08764","11.99","11.98","22.6","81 m -  180 m","0"
"(2023 VB1)","2023-Oct-20 23:03 ±    00:05","0.03852","0.03823","7.23","7.22","25.7","19 m -   43 m","0"
"(2023 UD4)","2023-Oct-21 00:45 ± < 00:01","0.00339","0.00338","4.26","4.07","28.0","6.6 m -   15 m","0"
"(2023 UV1)","2023-Oct-21 01:13 ± < 00:01","0.00730","0.00729","9.69","9.65","26.6","13 m -   28 m","0"
"(2023 UR1)","2023-Oct-21 01:17 ± < 00:01","0.00558","0.00558","8.22","8.16","24.7","31 m -   69 m","1"
"(2023 TE3)","2023-Oct-21 03:09 ± < 00:01","0.12939","0.12931","6.45","6.45","23.8","47 m -  110 m","0"
"(2023 UE6)","2023-Oct-21 03:28 ±    00:02","0.01404","0.01394","7.35","7.33","27.6","7.9 m -   18 m","0"
"(2023 UB4)","2023-Oct-21 04:08 ± < 00:01","0.05018","0.04990","19.65","19.65","24.1","40 m -   90 m","0"
"(2023 TP9)","2023-Oct-21 04:13 ± < 00:01","0.05424","0.05343","20.93","20.93","24.2","38 m -   86 m","0"
"(2023 UQ6)","2023-Oct-21 04:17 ±    00:01","0.03133","0.03117","18.01","18.00","25.4","22 m -   50 m","0"
"(2023 UW)","2023-Oct-21 05:10 ± < 00:01","0.01077","0.01075","5.95","5.91","28.0","6.8 m -   15 m","0"
"(2023 TK8)","2023-Oct-21 06:33 ±    00:01","0.14177","0.14139","10.87","10.87","22.3","92 m -  210 m","0"
"(2023 UN)","2023-Oct-21 09:38 ± < 00:01","0.00338","0.00338","11.24","11.16","26.1","16 m -   36 m","1"
"(2023 UG3)","2023-Oct-21 10:08 ± < 00:01","0.01176","0.01172","12.13","12.11","26.3","14 m -   32 m","0"
"(2023 UL2)","2023-Oct-21 14:51 ± < 00:01","0.03748","0.03736","15.74","15.74","24.3","37 m -   82 m","0"
"(2023 UH1)","2023-Oct-21 16:14 ± < 00:01","0.02522","0.02517","5.06","5.04","27.1","10 m -   23 m","0"
"(2005 TF49)","2023-Oct-21 18:32 ± < 00:01","0.14393","0.14393","13.68","13.68","19.1","410 m -  920 m","0"
"(2023 UE3)","2023-Oct-21 19:31 ± < 00:01","0.00634","0.00633","4.69","4.60","28.6","5.1 m -   11 m","0"
"4544 Xanthus (1989 FB)","2023-Oct-21 21:21 ± < 00:01","0.19555","0.19555","10.84","10.84","17.4","1.3 km","1"
"(2022 UU8)","2023-Oct-21 21:54 ±    01:15","0.10667","0.10664","3.37","3.36","28.0","6.8 m -   15 m","0"
"(2023 UP2)","2023-Oct-21 23:22 ± < 00:01","0.00944","0.00937","8.74","8.71","26.7","12 m -   27 m","0"
"(2001 UB5)","2023-Oct-22 03:27 ± < 00:01","0.13168","0.13168","24.90","24.90","22.2","96 m -  210 m","0"
"(2023 UG1)","2023-Oct-22 05:10 ± < 00:01","0.01126","0.01125","2.87","2.78","27.5","8.3 m -   19 m","0"
"(2023 TW4)","2023-Oct-22 05:50 ± < 00:01","0.01632","0.01626","10.54","10.52","25.6","20 m -   44 m","0"
"(2023 US3)","2023-Oct-22 08:04 ±    00:03","0.17829","0.17796","9.30","9.30","24.2","39 m -   88 m","0"
"(2015 KK57)","2023-Oct-22 09:05 ±    02:31","0.11194","0.11181","1.78","1.76","27.6","8.0 m -   18 m","0"
"(2023 UO2)","2023-Oct-22 11:21 ±    17:09","0.19961","0.17714","6.82","6.81","25.3","23 m -   51 m","0"
"(2023 TX2)","2023-Oct-22 12:53 ± < 00:01","0.03389","0.03380","7.51","7.50","25.5","22 m -   48 m","0"
"(2023 TW26)","2023-Oct-22 13:30 ± < 00:01","0.00600","0.00599","5.63","5.55","28.6","5.1 m -   11 m","0"
"(2023 UZ)","2023-Oct-22 15:56 ± < 00:01","0.00629","0.00629","13.13","13.09","27.3","9.4 m -   21 m","0"
"(2023 TB3)","2023-Oct-22 16:26 ±    00:03","0.11628","0.11561","10.15","10.14","22.9","68 m -  150 m","0"
"(2023 UK6)","2023-Oct-22 20:15 ±    00:04","0.10786","0.10698","7.10","7.09","25.0","27 m -   59 m","0"
"(2020 TE5)","2023-Oct-22 20:51 ± 1_16:28","0.19756","0.16664","15.94","15.94","29.0","4.2 m -  9.3 m","0"
"(2023 TX10)","2023-Oct-22 23:35 ± < 00:01","0.07287","0.07270","6.40","6.40","25.6","20 m -   44 m","0"
"(2006 VG13)","2023-Oct-23 02:21 ± < 00:01","0.11991","0.11991","6.03","6.03","21.5","140 m -  300 m","0"
"(2023 VS2)","2023-Oct-23 05:19 ±    00:06","0.07187","0.07107","11.90","11.89","23.7","47 m -  110 m","0"
"(2023 VB5)","2023-Oct-23 05:34 ±    00:05","0.15930","0.15857","9.84","9.84","23.4","57 m -  130 m","0"
"(2023 TP16)","2023-Oct-23 06:18 ±    00:04","0.00969","0.00968","1.50","1.30","29.8","2.9 m -  6.6 m","0"
"(2023 TF14)","2023-Oct-23 07:33 ±    00:01","0.19364","0.19270","14.04","14.04","23.6","50 m -  110 m","0"
"(2023 TV4)","2023-Oct-23 07:51 ± < 00:01","0.01296","0.01294","5.00","4.96","25.8","19 m -   42 m","0"
"(2023 VP)","2023-Oct-23 08:07 ±    00:05","0.03910","0.03870","12.52","12.51","24.6","33 m -   73 m","0"
"(2020 FM6)","2023-Oct-23 09:57 ± < 00:01","0.04302","0.04302","15.77","15.76","21.9","110 m -  240 m","1"
"(2023 UU4)","2023-Oct-23 11:09 ± < 00:01","0.01380","0.01372","16.08","16.07","25.8","18 m -   41 m","0"
"(2023 UU6)","2023-Oct-23 12:10 ±    00:09","0.03290","0.03255","11.41","11.40","26.9","11 m -   25 m","0"
"(2023 TC6)","2023-Oct-23 13:06 ± < 00:01","0.03421","0.03387","8.45","8.44","25.0","27 m -   60 m","0"
"(2023 VC1)","2023-Oct-23 15:41 ±    00:02","0.01855","0.01848","4.36","4.33","26.4","14 m -   32 m","0"
"(2023 UN10)","2023-Oct-23 18:43 ± < 00:01","0.03894","0.03876","10.81","10.81","24.2","38 m -   85 m","0"
"(2023 VR1)","2023-Oct-23 19:31 ±    00:06","0.02854","0.02826","9.21","9.20","25.8","18 m -   41 m","0"
"(2023 UK3)","2023-Oct-23 19:47 ± < 00:01","0.00558","0.00557","8.67","8.61","29.2","3.8 m -  8.6 m","0"
"(2023 TF)","2023-Oct-23 22:09 ±    00:02","0.14250","0.14045","16.01","16.01","22.8","74 m -  170 m","0"
"(2023 TM22)","2023-Oct-23 23:22 ± < 00:01","0.06441","0.06403","15.49","15.49","24.1","41 m -   92 m","0"
"(2023 VM)","2023-Oct-23 23:44 ±    00:04","0.03860","0.03800","20.99","20.99","23.9","45 m -  100 m","0"
"(2023 TT1)","2023-Oct-24 01:14 ± < 00:01","0.11139","0.11085","22.58","22.58","21.9","110 m -  240 m","0"
"(2023 TX8)","2023-Oct-24 02:02 ± < 00:01","0.00852","0.00852","5.60","5.54","26.6","13 m -   29 m","0"
"(2023 VN9)","2023-Oct-24 03:56 ±    00:01","0.16904","0.16893","16.73","16.73","21.3","150 m -  330 m","0"
"(2022 UV5)","2023-Oct-24 04:41 ± < 00:01","0.07787","0.07787","5.56","5.56","25.7","20 m -   44 m","0"
"(2023 VY)","2023-Oct-24 06:33 ±    00:05","0.04373","0.04306","10.88","10.88","25.3","23 m -   52 m","0"
"(2023 VB)","2023-Oct-24 07:10 ±    00:02","0.01830","0.01822","12.14","12.13","25.2","24 m -   53 m","0"
"(2023 TW10)","2023-Oct-24 09:48 ±    00:01","0.08847","0.08671","14.85","14.85","24.0","42 m -   95 m","0"
"(2019 HH4)","2023-Oct-24 10:46 ± < 00:01","0.03396","0.03396","20.02","20.01","19.8","290 m -  650 m","1"
"(2023 UO3)","2023-Oct-24 11:14 ± < 00:01","0.01740","0.01733","8.88","8.86","25.8","19 m -   41 m","0"
"(2023 VL)","2023-Oct-24 12:15 ± < 00:01","0.05181","0.05165","10.68","10.67","24.3","37 m -   84 m","0"
"482533 (2012 UA34)","2023-Oct-24 13:28 ± < 00:01","0.15830","0.15830","22.83","22.83","19.8","300 m -  660 m","0"
"(2019 UU)","2023-Oct-24 14:44 ± 4_09:18","0.16287","0.07370","13.15","13.15","26.5","13 m -   30 m","0"
"(2023 UN7)","2023-Oct-24 16:52 ± < 00:01","0.03929","0.03916","14.12","14.12","24.1","41 m -   91 m","0"
"(2023 TE6)","2023-Oct-24 17:28 ± < 00:01","0.04353","0.04340","4.16","4.15","26.4","14 m -   31 m","0"
"(2023 RA4)","2023-Oct-24 18:42 ± < 00:01","0.02157","0.02157","3.93","3.90","24.7","31 m -   69 m","0"
"(2023 UH5)","2023-Oct-24 20:22 ± < 00:01","0.01847","0.01844","10.31","10.30","25.2","24 m -   54 m","0"
"(2023 VY2)","2023-Oct-25 00:27 ±    00:16","0.03961","0.03933","5.93","5.92","26.9","11 m -   25 m","0"
"(2023 UJ3)","2023-Oct-25 00:49 ±    00:54","0.04537","0.04517","4.19","4.17","27.2","9.7 m -   22 m","0"
"(2023 TX9)","2023-Oct-25 01:04 ± < 00:01","0.08996","0.08990","8.70","8.69","22.8","73 m -  160 m","0"
"(2023 UF6)","2023-Oct-25 03:28 ± < 00:01","0.02059","0.02051","15.34","15.33","25.9","18 m -   39 m","0"
"(2023 UR6)","2023-Oct-25 09:17 ± < 00:01","0.01238","0.01231","18.39","18.38","26.5","13 m -   30 m","0"
"(2023 UG7)","2023-Oct-25 12:52 ±    00:01","0.13842","0.13788","14.90","14.90","23.9","43 m -   96 m","0"
"(2023 VT)","2023-Oct-25 14:06 ±    00:15","0.02198","0.02190","9.54","9.53","26.3","14 m -   32 m","0"
"(2023 SO11)","2023-Oct-25 14:44 ± < 00:01","0.00854","0.00854","2.50","2.37","26.7","12 m -   27 m","0"
"(2019 UQ5)","2023-Oct-25 16:07 ± 1_06:45","0.11165","0.04343","13.34","13.33","24.9","28 m -   63 m","0"
"(2022 SS6)","2023-Oct-25 20:00 ± < 00:01","0.16361","0.16361","11.73","11.73","22.4","90 m -  200 m","0"
"(2017 TK6)","2023-Oct-25 20:18 ± < 00:01","0.07384","0.07384","13.59","13.58","24.6","32 m -   70 m","0"
"(2023 TG14)","2023-Oct-26 01:03 ± < 00:01","0.01062","0.01061","6.71","6.67","25.8","18 m -   40 m","0"
"(2023 UJ2)","2023-Oct-26 04:03 ±    00:04","0.03033","0.03020","3.25","3.22","24.4","36 m -   80 m","0"
"(2023 TR7)","2023-Oct-26 04:10 ± < 00:01","0.04953","0.04911","11.36","11.36","25.3","23 m -   51 m","0"
"(2021 SZ4)","2023-Oct-26 05:28 ± < 00:01","0.03578","0.03578","29.97","29.97","20.5","210 m -  480 m","1"
"(2022 UP20)","2023-Oct-26 06:57 ±    00:02","0.06599","0.06597","9.42","9.42","25.1","26 m -   57 m","0"
"(2004 HQ1)","2023-Oct-26 07:42 ± 1_20:57","0.13733","0.09896","11.77","11.77","23.5","54 m -  120 m","0"
"(2010 GN67)","2023-Oct-26 08:34 ± < 00:01","0.09857","0.09857","14.40","14.40","22.2","97 m -  220 m","0"
"(2023 VD5)","2023-Oct-26 10:18 ± < 00:01","0.04422","0.04421","14.53","14.53","24.6","32 m -   71 m","0"
"469219 Kamo`oalewa (2016 HO3)","2023-Oct-26 13:35 ± < 00:01","0.13076","0.13076","4.59","4.59","24.3","36 m -   81 m","0"
"(2022 UN11)","2023-Oct-26 17:03 ±    02:53","0.15811","0.15507","11.68","11.67","27.2","9.7 m -   22 m","0"
"(2019 JN2)","2023-Oct-26 18:39 ±    06:24","0.15214","0.15171","5.02","5.02","25.7","19 m -   43 m","0"
"(2019 AR8)","2023-Oct-26 19:01 ± 1_00:04","0.14313","0.14032","6.63","6.62","25.6","20 m -   45 m","0"
"(2023 TH7)","2023-Oct-26 19:13 ± < 00:01","0.08089","0.08060","19.90","19.90","23.3","57 m -  130 m","0"
"(2023 WR)","2023-Oct-26 21:01 ±    00:15","0.07310","0.07223","5.90","5.89","25.3","23 m -   52 m","0"
"(2023 VN2)","2023-Oct-26 21:18 ±    00:16","0.02859","0.02824","7.17","7.16","26.6","13 m -   28 m","0"
"302169 (2001 TD45)","2023-Oct-26 23:00 ± < 00:01","0.03258","0.03258","25.68","25.68","20.0","270 m -  590 m","1"
"(2023 VQ2)","2023-Oct-26 23:41 ±    00:14","0.00906","0.00899","9.13","9.10","26.4","14 m -   31 m","0"
"(2017 TG5)","2023-Oct-27 00:43 ±    14:46","0.13766","0.10092","15.54","15.54","25.1","25 m -   57 m","0"
"(2023 VP1)","2023-Oct-27 07:07 ±    00:06","0.09489","0.09335","14.80","14.80","23.7","49 m -  110 m","0"
"(2023 UO7)","2023-Oct-27 09:12 ± < 00:01","0.00276","0.00275","13.81","13.74","28.3","5.8 m -   13 m","0"
"(2023 UV6)","2023-Oct-27 11:16 ± < 00:01","0.02625","0.02615","7.31","7.30","26.4","14 m -   31 m","0"
"(2023 UK4)","2023-Oct-27 12:22 ± < 00:01","0.02994","0.02958","11.31","11.30","26.6","13 m -   29 m","0"
"(2023 VJ1)","2023-Oct-27 13:59 ±    00:08","0.05411","0.05350","8.55","8.54","25.2","24 m -   53 m","0"
"(2023 UM9)","2023-Oct-27 14:50 ± < 00:01","0.10905","0.10904","13.80","13.80","22.9","69 m -  150 m","0"
"(2019 UC8)","2023-Oct-27 14:56 ± 6_06:48","0.15800","0.11326","9.62","9.62","26.2","16 m -   35 m","0"
"(2023 VA1)","2023-Oct-27 16:43 ±    00:02","0.02088","0.02070","15.59","15.58","25.1","26 m -   57 m","0"
"(2019 VJ2)","2023-Oct-27 20:06 ±    04:51","0.07582","0.05836","11.90","11.90","26.1","16 m -   36 m","0"
"(2023 VO)","2023-Oct-27 20:47 ± < 00:01","0.06455","0.06380","26.20","26.20","23.6","51 m -  110 m","0"
"(2015 KT120)","2023-Oct-28 01:09 ±    00:05","0.19864","0.19863","10.33","10.33","25.1","25 m -   57 m","0"
"(2020 GE1)","2023-Oct-28 01:58 ±    02:32","0.09294","0.09263","4.24","4.24","27.1","10 m -   23 m","0"
"(2023 VC10)","2023-Oct-28 05:23 ±    01:57","0.10324","0.10043","6.11","6.11","24.8","29 m -   65 m","0"
"(2003 UY12)","2023-Oct-28 09:31 ± < 00:01","0.14620","0.14620","13.65","13.65","23.3","59 m -  130 m","0"
"(2023 VR2)","2023-Oct-28 10:08 ±    00:02","0.01946","0.01942","8.21","8.19","25.4","23 m -   51 m","0"
"(2018 VO6)","2023-Oct-28 13:43 ± < 00:01","0.14894","0.14894","9.64","9.64","24.3","36 m -   81 m","0"
"(2023 UQ7)","2023-Oct-28 14:44 ±    00:16","0.05419","0.05379","8.29","8.29","25.2","24 m -   55 m","0"
"(2023 TS7)","2023-Oct-28 15:35 ±    00:03","0.05747","0.05703","16.56","16.56","24.2","39 m -   88 m","0"
"(2020 US3)","2023-Oct-28 20:38 ± 7_18:11","0.19503","0.08261","11.71","11.71","26.1","16 m -   36 m","0"
"(2023 WP)","2023-Oct-28 21:38 ± < 00:01","0.06094","0.06089","14.17","14.16","23.1","65 m -  140 m","0"
"(2021 VF)","2023-Oct-28 23:03 ±    10:16","0.13978","0.13818","5.08","5.08","27.9","7.2 m -   16 m","0"
"(2017 UH5)","2023-Oct-29 00:53 ± < 00:01","0.06654","0.06654","6.97","6.96","26.6","13 m -   28 m","0"
"(2023 VD8)","2023-Oct-29 01:12 ±    00:10","0.05472","0.05382","17.69","17.68","23.4","56 m -  120 m","0"
"(2017 JQ1)","2023-Oct-29 01:48 ± 1_23:45","0.07948","0.05457","8.80","8.80","29.3","3.7 m -  8.2 m","0"
"(2020 VX)","2023-Oct-29 01:51 ± < 00:01","0.02605","0.02605","18.78","18.77","24.9","28 m -   62 m","0"
"(2023 VW2)","2023-Oct-29 03:28 ± < 00:01","0.05756","0.05606","10.43","10.43","24.3","36 m -   81 m","0"
"(2020 HN3)","2023-Oct-29 04:58 ±    02:51","0.08949","0.08636","6.74","6.73","29.4","3.5 m -  7.8 m","0"
"(2023 VW3)","2023-Oct-29 07:24 ±    00:05","0.08439","0.08385","5.87","5.87","25.3","23 m -   52 m","0"
"(2023 VN)","2023-Oct-29 08:14 ± < 00:01","0.05442","0.05438","9.41","9.40","25.0","26 m -   58 m","0"
"65733 (1993 PC)","2023-Oct-29 10:04 ± < 00:01","0.19137","0.19137","19.71","19.71","18.4","550 m -  1.2 km","0"
"(2023 VZ1)","2023-Oct-29 11:38 ±    00:02","0.00691","0.00689","2.51","2.35","27.9","7.2 m -   16 m","0"
"(2023 TU3)","2023-Oct-29 11:50 ± < 00:01","0.14294","0.14292","21.23","21.23","19.4","350 m -  780 m","0"
"(2023 UA2)","2023-Oct-29 12:04 ± < 00:01","0.03301","0.03278","9.22","9.21","27.0","11 m -   24 m","0"
"(2016 TL10)","2023-Oct-29 12:45 ± 5_12:37","0.09781","0.09153","4.72","4.72","27.3","9.2 m -   21 m","0"
"(2019 SE5)","2023-Oct-29 13:10 ± 4_08:31","0.10678","0.08614","7.79","7.79","26.7","12 m -   28 m","0"
"(2023 UN3)","2023-Oct-29 15:13 ±    00:19","0.14601","0.13614","19.29","19.29","24.3","37 m -   82 m","0"
"(2014 UD176)","2023-Oct-29 17:46 ± 1_02:47","0.14656","0.12198","18.45","18.44","24.8","29 m -   65 m","0"
"(2023 ST4)","2023-Oct-29 17:50 ± < 00:01","0.15722","0.15719","6.89","6.88","23.4","56 m -  130 m","0"
"(2023 VE8)","2023-Oct-29 20:37 ±    00:06","0.03155","0.03133","8.32","8.31","25.1","25 m -   55 m","0"
"(2023 UH7)","2023-Oct-29 22:01 ±    00:01","0.05672","0.05573","15.31","15.31","25.2","24 m -   55 m","0"
"(2023 UV4)","2023-Oct-29 22:50 ± < 00:01","0.06176","0.06166","7.42","7.41","26.3","15 m -   33 m","0"
"(2023 VC3)","2023-Oct-30 04:38 ±    00:04","0.01611","0.01588","16.84","16.83","25.9","17 m -   38 m","0"
"(2023 HG1)","2023-Oct-30 08:52 ±    00:10","0.12761","0.12748","2.65","2.65","26.3","14 m -   32 m","0"
"525229 (2004 UU1)","2023-Oct-30 10:41 ± < 00:01","0.02725","0.02725","17.43","17.42","21.2","160 m -  350 m","1"
"(2017 UP6)","2023-Oct-30 11:27 ±    11:51","0.15028","0.13445","16.82","16.82","26.1","16 m -   36 m","0"
"(2020 TB9)","2023-Oct-30 16:00 ±    15:03","0.16309","0.15500","10.05","10.04","25.7","19 m -   43 m","0"
"(2023 VV)","2023-Oct-30 17:24 ± < 00:01","0.02938","0.02937","9.25","9.24","23.5","53 m -  120 m","0"
"(2023 VH1)","2023-Oct-30 17:35 ± < 00:01","0.05506","0.05469","16.67","16.67","23.2","60 m -  130 m","0"
"(2023 VE2)","2023-Oct-30 18:39 ±    00:01","0.01510","0.01502","6.74","6.71","27.9","7.1 m -   16 m","0"
"(2021 GV3)","2023-Oct-30 22:03 ±    20:14","0.13821","0.13119","9.66","9.65","25.2","24 m -   53 m","0"
"(2023 VQ)","2023-Oct-30 23:39 ± < 00:01","0.02765","0.02749","11.59","11.58","26.3","14 m -   32 m","0"
"(2023 VB3)","2023-Oct-31 03:47 ± < 00:01","0.03917","0.03894","13.67","13.67","25.3","24 m -   53 m","0"
"(2017 WO1)","2023-Oct-31 04:46 ± < 00:01","0.14525","0.14525","7.44","7.44","24.3","38 m -   84 m","0"
"(2024 EU1)","2023-Oct-31 09:18 ±    02:28","0.12716","0.12709","3.49","3.49","25.1","25 m -   56 m","0"
"(2023 RK44)","2023-Oct-31 09:32 ± < 00:01","0.11712","0.11711","4.09","4.09","23.7","49 m -  110 m","0"
